"Fish_id","Watershed","Status","Original_Points","Filtered_Points"
"2015_nk_060","Nush","Success",1201,920
"2015_nk_062_redo","Nush","Success",987,945
"2015_nk_064","Nush","Success",1110,860
"2015_nk_065","Nush","Success",1325,1021
"2015_nk_067","Nush","Success",1019,856
"2015_nk_070","Nush","Success",1099,939
"2015_nk_072","Nush","Success",1436,974
"2015_nk_074","Nush","Success",1196,863
"2015_nk_075","Nush","Success",844,813
"2015_nk_077_2","Nush","Success",973,765
"2015_nk_079","Nush","Success",1161,1095
"2015_nk_082","Nush","Success",1232,998
"2015_nk_088","Nush","Success",1151,797
"2015_nk_090","Nush","Success",1394,968
"2015_nk_091","Nush","Success",1098,787
"2015_nk_092","Nush","Success",1331,857
"2015_nk_093","Nush","Success",1535,1146
"2015_nk_094","Nush","Success",1302,1076
"2015_nk_095","Nush","Success",1096,917
"2015_nk_097","Nush","Success",1462,1092
"2015_nk_098","Nush","Success",1502,1017
"2015_nk_100","Nush","Success",1157,965
"2015_nk_101","Nush","Success",1374,928
"2015_nk_102","Nush","Success",1184,1031
"2015_nk_103","Nush","Success",1205,874
"2015_nk_104","Nush","Success",1329,857
"2015_nk_105","Nush","Success",1261,1011
"2015_nk_106","Nush","Success",1205,901
"2015_nk_107","Nush","Success",1272,834
"2015_nk_109","Nush","Success",1300,1030
"2015_nk_110_redo","Nush","Success",1290,852
"2015_nk_111_redo","Nush","Success",1392,884
"2015_nk_113","Nush","Success",1428,1170
"2015_nk_114_redo","Nush","Success",1120,872
"2015_nk_115","Nush","Success",1386,1013
"2015_nk_116_1","Nush","Success",1187,1025
"2015_nk_116_2","Nush","Success",1585,1348
"2015_nk_117","Nush","Success",1115,880
"2015_nk_118","Nush","Success",1376,1041
"2015_nk_119","Nush","Success",1160,922
"2015_nk_120","Nush","Success",1165,975
"2015_nk_121","Nush","Success",1130,968
"2015_nk_122_redoB","Nush","Success",1240,973
"2015_nk_124_redo","Nush","Success",1140,724
"2015_nk_126_redo","Nush","Success",1050,708
"2015_nk_128","Nush","Success",1272,1089
"2015_nk_129","Nush","Success",1113,851
"2015_nk_130_redo","Nush","Success",1085,833
"2015_nk_131","Nush","Success",961,815
"2015_nk_132","Nush","Success",1619,1218
"2015_nk_133","Nush","Success",1142,912
"2015_nk_134_1","Nush","Success",1175,864
"2015_nk_135","Nush","Success",1099,893
"2015_nk_136","Nush","Success",1095,816
"2015_nk_137_redo","Nush","Success",1242,912
"2015_nk_138","Nush","Success",1103,853
"2015_nk_139","Nush","Success",1262,992
"2015_nk_140_redo","Nush","Success",1172,887
"2015_nk_141","Nush","Success",1234,900
"2015_nk_142","Nush","Success",1319,1007
"2015_nk_143","Nush","Success",1210,723
"2015_nk_144","Nush","Success",1229,992
"2015_nk_145_redo","Nush","Success",1096,871
"2015_nk_146","Nush","Success",1232,961
"2015_nk_147_redo","Nush","Success",1074,830
"2015_nk_148","Nush","Success",1170,834
"2015_nk_150","Nush","Success",1195,1026
"2015_nk_151_redo_1","Nush","Success",1203,965
"2015_nk_152_redo_1","Nush","Success",1289,886
"2015_nk_153","Nush","Success",911,716
"2015_nk_155_1","Nush","Success",892,814
"2015_nk_156_smlLB","Nush","Success",1014,662
"2015_nk_159","Nush","Success",1482,1156
"2015_nk_161_redo","Nush","Success",691,578
"2015_nk_162","Nush","Success",991,840
"2015_nk_163","Nush","Success",1095,783
"2015_nk_164","Nush","Success",1092,796
"2015_nk_165","Nush","Success",1096,742
"2015_nk_166_redo","Nush","Success",1084,963
"2015_nk_167_redo","Nush","Success",1098,912
"2015_nk_168","Nush","Success",1014,821
"2015_nk_169","Nush","Success",1421,1249
"2015_nk_170","Nush","Success",1167,837
"2015_nk_173","Nush","Success",1087,696
"2015_nk_175","Nush","Success",1005,747
"2015_nk_176","Nush","Success",1253,977
"2015_nk_177_redo","Nush","Success",828,681
"2015_nk_178","Nush","Success",1204,952
"2015_nk_179","Nush","Success",1095,757
"2015_nk_180","Nush","Success",1237,1031
"2015_nk_181","Nush","Success",1142,960
"2015_nk_182","Nush","Success",1120,865
"2015_nk_183","Nush","Success",932,652
"2015_nk_184","Nush","Success",992,869
"2015_nk_185_redo","Nush","Success",1001,728
"2015_nk_186","Nush","Success",1294,1003
"2015_nk_188","Nush","Success",1604,1016
"2015_nk_190","Nush","Success",1239,845
"2015_nk_191","Nush","Success",1247,1019
"2015_nk_193","Nush","Success",1111,917
"2015_nk_194","Nush","Success",1232,893
"2015_nk_195","Nush","Success",1104,901
"2015_nk_196","Nush","Success",1384,1065
"2015_nk_200","Nush","Success",1094,850
"2015_nk_202","Nush","Success",1166,862
"2015_nk_203_redo","Nush","Success",1118,734
"2015_nk_204_redo","Nush","Success",1052,732
"2015_nk_205","Nush","Success",1154,1037
"2015_nk_207","Nush","Success",1185,1017
"2015_nk_208","Nush","Success",1032,909
"2015_nk_209","Nush","Success",1072,831
"2015_nk_210","Nush","Success",1280,958
"2015_nk_211","Nush","Success",1164,956
"2015_nk_213","Nush","Success",1121,904
"2015_nk_214","Nush","Success",1296,1109
"2015_nk_215","Nush","Success",1145,838
"2015_nk_216","Nush","Success",1158,944
"2015_nk_217","Nush","Success",967,848
"2015_nk_218","Nush","Success",1041,853
"2015_nk_220","Nush","Success",1169,955
"2015_nk_221","Nush","Success",966,909
"2015_nk_222","Nush","Success",1235,943
"2015_nk_223","Nush","Success",1063,851
"2015_nk_224_redo","Nush","Success",1144,1022
"2015_nk_225","Nush","Success",1149,996
"2015_nk_226","Nush","Success",1053,935
"2015_nk_227","Nush","Success",1047,963
"2015_nk_228","Nush","Success",1109,922
"2015_nk_229","Nush","Success",1241,945
"2015_nk_230","Nush","Success",1234,1043
"2015_nk_231_redo","Nush","Success",993,910
"2015_nk_232_redo","Nush","Success",1040,834
"2015_nk_233_redo","Nush","Success",1099,895
"2015_nk_234","Nush","Success",1151,992
"2015_nk_235","Nush","Success",1141,966
"2015_nk_236","Nush","Success",1226,983
"2015_nk_237","Nush","Success",1234,974
"2015_nk_238","Nush","Success",1233,937
"2015_nk_239","Nush","Success",1518,1100
"2015_nk_241","Nush","Success",1653,1256
"2015_nk_242","Nush","Success",1436,1102
"2015_nk_243","Nush","Success",1287,912
"2015_nk_244","Nush","Success",943,692
"2015_nk_245","Nush","Success",1144,808
"2015_nk_248","Nush","Success",1171,872
"2015_nk_252","Nush","Success",1105,608
"2015_nk_253","Nush","Success",1088,799
"2015_nk_254_redo","Nush","Success",1217,839
"2015_nk_255","Nush","Success",1230,872
"2015_nk_256","Nush","Success",1224,889
"2015_nk_257","Nush","Success",1245,1023
"2015_nk_258","Nush","Success",1236,856
"2015_nk_259","Nush","Success",1139,831
"2015_nk_260_redo","Nush","Success",1077,836
"2015_nk_261","Nush","Success",1286,1002
