"Fish_id","Dataset","Predicted_Watershed","Actual_Watershed","Correct_Classified"
"2019_yk_075","RAW","Yukon","Yukon","Yes"
"2019_yk_085a","RAW","Yukon","Yukon","Yes"
"2019_yk_090","RAW","Yukon","Yukon","Yes"
"2019_yk_092","RAW","Yukon","Yukon","Yes"
"2019_yk_104a","RAW","Yukon","Yukon","Yes"
"2019_yk_116a","RAW","Kusko","Yukon","No"
"2019_yk_123","RAW","Yukon","Yukon","Yes"
"2019_yk_138","RAW","Yukon","Yukon","Yes"
"2019_yk_139a","RAW","Yukon","Yukon","Yes"
"2019_yk_140","RAW","Yukon","Yukon","Yes"
"2019_yk_147","RAW","Yukon","Yukon","Yes"
"2019_yk_149","RAW","Yukon","Yukon","Yes"
"2019_yk_152","RAW","Yukon","Yukon","Yes"
"2019_yk_165","RAW","Yukon","Yukon","Yes"
"2019_yk_168a","RAW","Kusko","Yukon","No"
"2019_yk_186a","RAW","Yukon","Yukon","Yes"
"2019_yk_187","RAW","Kusko","Yukon","No"
"2019_yk_261","RAW","Yukon","Yukon","Yes"
"2019_yk_268","RAW","Yukon","Yukon","Yes"
"2019_yk_279","RAW","Yukon","Yukon","Yes"
"2019_yk_283","RAW","Yukon","Yukon","Yes"
"2019_yk_286","RAW","Yukon","Yukon","Yes"
"2019_yk_288","RAW","Yukon","Yukon","Yes"
"2019_yk_289","RAW","Yukon","Yukon","Yes"
"2019_yk_295_redo","RAW","Yukon","Yukon","Yes"
"2019_yk_303","RAW","Yukon","Yukon","Yes"
"2019_yk_334","RAW","Kusko","Yukon","No"
"2019_yk_358","RAW","Yukon","Yukon","Yes"
"2019_yk_368","RAW","Yukon","Yukon","Yes"
"2019_yk_376","RAW","Kusko","Yukon","No"
"2019_yk_383","RAW","Yukon","Yukon","Yes"
"2019_yk_395","RAW","Yukon","Yukon","Yes"
"2019_yk_408","RAW","Yukon","Yukon","Yes"
"2019_yk_410","RAW","Yukon","Yukon","Yes"
"2019_yk_417","RAW","Yukon","Yukon","Yes"
"2019_yk_428","RAW","Yukon","Yukon","Yes"
"2019_yk_433","RAW","Yukon","Yukon","Yes"
"2019_yk_444","RAW","Yukon","Yukon","Yes"
"2019_yk_448","RAW","Yukon","Yukon","Yes"
"2019_yk_454","RAW","Yukon","Yukon","Yes"
"2019_yk_459","RAW","Kusko","Yukon","No"
"2019_yk_462","RAW","Kusko","Yukon","No"
"2019_yk_491","RAW","Yukon","Yukon","Yes"
"2019_yk_492","RAW","Kusko","Yukon","No"
"2020_kk_010","RAW","Kusko","Kusko","Yes"
"2020_kk_013","RAW","Yukon","Kusko","No"
"2020_kk_017","RAW","Kusko","Kusko","Yes"
"2020_kk_020_redo","RAW","Kusko","Kusko","Yes"
"2020_kk_021_redo","RAW","Kusko","Kusko","Yes"
"2020_kk_024","RAW","Yukon","Kusko","No"
"2020_kk_026","RAW","Kusko","Kusko","Yes"
"2020_kk_030","RAW","Kusko","Kusko","Yes"
"2020_kk_031","RAW","Kusko","Kusko","Yes"
"2020_kk_036","RAW","Kusko","Kusko","Yes"
"2020_kk_044_redo","RAW","Kusko","Kusko","Yes"
"2020_kk_049","RAW","Kusko","Kusko","Yes"
"2020_kk_053_redo","RAW","Kusko","Kusko","Yes"
"2020_kk_063_redo","RAW","Kusko","Kusko","Yes"
"2020_kk_067_redo","RAW","Kusko","Kusko","Yes"
"2020_kk_073","RAW","Kusko","Kusko","Yes"
"2020_kk_075","RAW","Kusko","Kusko","Yes"
"2020_kk_083_redo_a","RAW","Kusko","Kusko","Yes"
"2020_kk_104","RAW","Kusko","Kusko","Yes"
"2020_kk_115_redo","RAW","Kusko","Kusko","Yes"
"2020_kk_120","RAW","Kusko","Kusko","Yes"
"2020_kk_121","RAW","Kusko","Kusko","Yes"
"2020_kk_126","RAW","Kusko","Kusko","Yes"
"2020_kk_143","RAW","Kusko","Kusko","Yes"
"2020_kk_145_redo","RAW","Kusko","Kusko","Yes"
"2020_kk_153","RAW","Kusko","Kusko","Yes"
"2020_kk_156","RAW","Kusko","Kusko","Yes"
"2020_kk_158","RAW","Kusko","Kusko","Yes"
"2020_kk_175_redo","RAW","Kusko","Kusko","Yes"
"2020_kk_186_redo","RAW","Kusko","Kusko","Yes"
"2020_kk_201","RAW","Kusko","Kusko","Yes"
"2020_kk_210","RAW","Kusko","Kusko","Yes"
"2020_kk_241_sld18","RAW","Kusko","Kusko","Yes"
"2020_kk_242_sld18","RAW","Kusko","Kusko","Yes"
"2020_kk_244","RAW","Kusko","Kusko","Yes"
"2020_kk_251_sld20","RAW","Kusko","Kusko","Yes"
"2020_kk_256_redo","RAW","Kusko","Kusko","Yes"
"2020_kk_258","RAW","Kusko","Kusko","Yes"
"2020_kk_261","RAW","Kusko","Kusko","Yes"
"2020_kk_276","RAW","Kusko","Kusko","Yes"
"2020_kk_293","RAW","Kusko","Kusko","Yes"
"2020_kk_299","RAW","Kusko","Kusko","Yes"
"2020_kk_307","RAW","Kusko","Kusko","Yes"
"2020_kk_310","RAW","Kusko","Kusko","Yes"
"2020_kk_311","RAW","Kusko","Kusko","Yes"
