"File","Fish_ID","QC_Grade"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_171_trimLocations.csv","2011_nk_171_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_172_trimLocations.csv","2011_nk_172_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_173_trimLocations.csv","2011_nk_173_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_174_trimLocations.csv","2011_nk_174_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_175_trimLocations.csv","2011_nk_175_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_176_trimLocations.csv","2011_nk_176_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_177_trimLocations.csv","2011_nk_177_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_178_trimLocations.csv","2011_nk_178_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_179_trimLocations.csv","2011_nk_179_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_18_trimLocations.csv","2011_nk_18_trimLocations","Redo"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_180_trimLocations.csv","2011_nk_180_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_181_trimLocations.csv","2011_nk_181_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_182_trimLocations.csv","2011_nk_182_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_183_trimLocations.csv","2011_nk_183_trimLocations","Perfect"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_184_trimLocations.csv","2011_nk_184_trimLocations","Redo"
"/Users/benjaminmakhlouf/Research_repos/Western_Ak_otolith_stock_discrimination/Data/Processed/Trim_Locations/2011_nk_185_trimLocations.csv","2011_nk_185_trimLocations","Perfect"
