"Cycle","time","Iso","Sr88","Time","Microns","Fish_id","Watershed","Year","Iso_MA","Sr88_MA","Sr88_MA_Gradient","natal_microns_start","natal_microns_end","marine_start","natal_origin_iso"
838,419.048,0.7091579,1.6660663,439.112,878.224,"2011_nk_149","Nush",2011,0.708965368333332,1.56844164333334,0.00647858166666659,782.596753996877,915.620452557742,892.896,0.708574383464567
839,419.524,0.7090404,1.6714728,439.636,879.272,"2011_nk_149","Nush",2011,0.708960133333332,1.57472337166667,0.0062817283333334,782.596753996877,915.620452557742,892.896,0.708574383464567
840,420.048,0.7091763,1.6360792,440.16,880.32,"2011_nk_149","Nush",2011,0.708941798333332,1.58042649166667,0.00570311999999995,782.596753996877,915.620452557742,892.896,0.708574383464567
841,420.524,0.7092277,1.624783,440.684,881.368,"2011_nk_149","Nush",2011,0.708945663333332,1.5853652,0.00493870833333321,782.596753996877,915.620452557742,892.896,0.708574383464567
842,421.048,0.7091759,1.6140546,441.208,882.416,"2011_nk_149","Nush",2011,0.708959704999998,1.58986915833334,0.00450395833333328,782.596753996877,915.620452557742,892.896,0.708574383464567
843,421.524,0.7083585,1.6182602,441.732,883.464,"2011_nk_149","Nush",2011,0.708974459999998,1.59448489833334,0.0046157400000002,782.596753996877,915.620452557742,892.896,0.708574383464567
844,422.048,0.7095203,1.632866,442.256,884.512,"2011_nk_149","Nush",2011,0.708968558333332,1.59842644666667,0.00394154833333338,782.596753996877,915.620452557742,892.896,0.708574383464567
845,422.524,0.7093507,1.591757,442.78,885.56,"2011_nk_149","Nush",2011,0.708959589999998,1.60215254,0.00372609333333318,782.596753996877,915.620452557742,892.896,0.708574383464567
846,423.048,0.7086289,1.6262172,443.304,886.608,"2011_nk_149","Nush",2011,0.708947071666665,1.60515366666667,0.00300112666666674,782.596753996877,915.620452557742,892.896,0.708574383464567
847,423.524,0.7087144,1.6044138,443.828,887.656,"2011_nk_149","Nush",2011,0.708943373333332,1.60784112,0.00268745333333342,782.596753996877,915.620452557742,892.896,0.708574383464567
848,424.048,0.7093948,1.6352507,444.352,888.704,"2011_nk_149","Nush",2011,0.708936791666665,1.610571465,0.00273034500000002,782.596753996877,915.620452557742,892.896,0.708574383464567
849,424.524,0.7090955,1.6116401,444.876,889.752,"2011_nk_149","Nush",2011,0.708941969999998,1.612513395,0.00194193000000009,782.596753996877,915.620452557742,892.896,0.708574383464567
