Cycle,time,Iso,Sr88,Time,Microns,Fish_id,Watershed,Year
240,120.048,0.7088648,2.9458706,125.76,251.52,2011_nk_152,Nush,2011
241,120.524,0.7093394,2.8771128,126.284,252.568,2011_nk_152,Nush,2011
242,121.048,0.7088557,2.9379411,126.808,253.616,2011_nk_152,Nush,2011
243,121.524,0.7090449,2.8121427,127.33200000000001,254.66400000000002,2011_nk_152,Nush,2011
244,122.048,0.7092003,2.7846555,127.85600000000001,255.71200000000002,2011_nk_152,Nush,2011
245,122.524,0.7089956,2.8073087,128.38,256.76,2011_nk_152,Nush,2011
246,123.048,0.709533,2.7836788,128.904,257.808,2011_nk_152,Nush,2011
247,123.524,0.7094622,2.8061847,129.428,258.856,2011_nk_152,Nush,2011
248,124.048,0.7094974,2.6882995,129.952,259.904,2011_nk_152,Nush,2011
249,124.524,0.7091969,2.6721246,130.476,260.952,2011_nk_152,Nush,2011
250,125.048,0.7093683,2.702453,131,262,2011_nk_152,Nush,2011
251,125.524,0.7092462,2.7053137,131.524,263.048,2011_nk_152,Nush,2011
252,126.048,0.7096904,2.7009727,132.048,264.096,2011_nk_152,Nush,2011
253,126.524,0.7089227,2.6267998,132.572,265.144,2011_nk_152,Nush,2011
254,127.048,0.708508,2.4772217,133.096,266.192,2011_nk_152,Nush,2011
255,127.524,0.7091555,2.4804191,133.62,267.24,2011_nk_152,Nush,2011
256,128.048,0.70882,2.5481746,134.144,268.288,2011_nk_152,Nush,2011
257,128.524,0.7088758,2.4644189,134.668,269.336,2011_nk_152,Nush,2011
258,129.048,0.7090475,2.429874,135.192,270.384,2011_nk_152,Nush,2011
259,129.524,0.7090608,2.4000254,135.716,271.432,2011_nk_152,Nush,2011
260,130.048,0.709382,2.2691035,136.24,272.48,2011_nk_152,Nush,2011
261,130.524,0.7095632,2.3157802,136.764,273.528,2011_nk_152,Nush,2011
262,131.048,0.7084367,2.3199539,137.288,274.576,2011_nk_152,Nush,2011
263,131.524,0.7092154,2.1084619,137.812,275.624,2011_nk_152,Nush,2011
264,132.048,0.7089942,2.107933,138.336,276.672,2011_nk_152,Nush,2011
265,132.524,0.7087308,2.1076762000000002,138.86,277.72,2011_nk_152,Nush,2011
266,133.048,0.7084636,2.1325501,139.38400000000001,278.76800000000003,2011_nk_152,Nush,2011
