Cycle,time,Iso,Sr88,Time,Microns,Fish_id,Watershed,Year,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core,Landmark
907,475.268,0.708411,0.951442,475.268,950.536,2011_nk_81,Nush,2011,0.708449166666668,0.887722216666669,-0.00205809999999995,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
908,475.792,0.709082,0.975758,475.792,951.584,2011_nk_81,Nush,2011,0.708427266666668,0.884927650000002,-0.00279456666666666,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
909,476.316,0.708018,0.976395,476.316,952.632,2011_nk_81,Nush,2011,0.708385966666668,0.882740350000002,-0.0021873,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
910,476.84,0.707537,0.937558,476.84,953.68,2011_nk_81,Nush,2011,0.708379633333335,0.881292583333335,-0.00144776666666668,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
911,477.364,0.708121,0.966313,477.364,954.728,2011_nk_81,Nush,2011,0.708356766666668,0.879881200000002,-0.00141138333333335,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
912,477.888,0.708185,0.984652,477.888,955.776,2011_nk_81,Nush,2011,0.708369966666668,0.878682933333335,-0.00119826666666667,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
913,478.412,0.707231,0.999633,478.412,956.824,2011_nk_81,Nush,2011,0.708413850000001,0.878115283333335,-5.6765000000003e-4,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
914,478.936,0.707939,1.012721,478.936,957.872,2011_nk_81,Nush,2011,0.708421250000001,0.877950716666669,-1.6456666666664e-4,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
915,479.46,0.711319,1.016594,479.46,958.92,2011_nk_81,Nush,2011,0.708408016666668,0.877735550000002,-2.1516666666665e-4,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
916,479.984,0.708395,1.0098800000000001,479.984,959.968,2011_nk_81,Nush,2011,0.708393966666668,0.878145850000002,4.1029999999986e-4,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
917,480.508,0.708551,1.024787,480.508,961.016,2011_nk_81,Nush,2011,0.708361583333335,0.878750933333335,6.0508333333331e-4,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
918,481.032,0.707973,1.005778,481.032,962.064,2011_nk_81,Nush,2011,0.708368450000001,0.879809733333335,0.00105880000000003,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
919,481.556,0.706986,1.033844,481.556,963.112,2011_nk_81,Nush,2011,0.708379366666668,0.880741600000002,9.3186666666667e-4,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
920,482.08,0.708647,1.00536,482.08,964.16,2011_nk_81,Nush,2011,0.708373066666668,0.882266266666668,0.00152466666666662,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
921,482.604,0.707107,0.994963,482.604,965.208,2011_nk_81,Nush,2011,0.708350683333335,0.882175850000002,-9.04166666667594e-5,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
922,483.128,0.707473,0.973273,483.128,966.256,2011_nk_81,Nush,2011,0.708326616666668,0.881838883333335,-3.369666666666e-4,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
923,483.652,0.708413,0.95644,483.652,967.304,2011_nk_81,Nush,2011,0.708326633333335,0.880373616666668,-0.00146526666666669,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
924,484.176,0.708903,0.944934,484.176,968.352,2011_nk_81,Nush,2011,0.708323516666668,0.878164766666668,-0.00220885000000004,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
925,484.7,0.708209,0.876545,484.7,969.4,2011_nk_81,Nush,2011,0.708294250000001,0.875627783333335,-0.0025369833333333,1323.54105835693,1408.65791027013,1774.264,0.707733463414634,1102.9586882191306,NA
