Cycle,time,Iso,Sr88,Time,Microns,Fish_id,Watershed,Year,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core
1047,523.524,0.7094209,4.1299045,548.628,1097.256,2011_nk_225,Nush,2011,0.70907432,4.112810865,0.00243676500000056,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1048,524.048,0.7089527,4.0776458,549.152,1098.304,2011_nk_225,Nush,2011,0.709071251666666,4.11495089166666,0.00214002666666602,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1049,524.524,0.7092292,4.0871882,549.676,1099.352,2011_nk_225,Nush,2011,0.709073408333333,4.116163015,0.00121212333333354,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1050,525.048,0.7091964,4.1249495,550.2,1100.4,2011_nk_225,Nush,2011,0.709074715,4.11887981,0.00271679500000044,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1051,525.524,0.7090089,4.0447028,550.724,1101.448,2011_nk_225,Nush,2011,0.709080236666666,4.12099602166666,0.00211621166666642,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1052,526.048,0.7095345,4.0440839,551.248,1102.496,2011_nk_225,Nush,2011,0.709066875,4.12166721833333,6.7119666666659e-4,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1053,526.524,0.7089768,4.0615537,551.772,1103.544,2011_nk_225,Nush,2011,0.709064845,4.12441513166667,0.00274791333333368,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1054,527.048,0.7092454,4.0997169,552.296,1104.592,2011_nk_225,Nush,2011,0.709071678333333,4.12579622833333,0.00138109666666697,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1055,527.524,0.7092331,4.1758314,552.82,1105.64,2011_nk_225,Nush,2011,0.709085608333333,4.1259678433333304,1.7161499999929e-4,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1056,528.048,0.70922,4.1523676,553.344,1106.688,2011_nk_225,Nush,2011,0.70907952,4.12768590166666,0.00171805833333316,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1057,528.524,0.7090474,4.1696291,553.868,1107.736,2011_nk_225,Nush,2011,0.709085235,4.12854658166667,8.6068000000061e-4,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1058,529.048,0.709286,4.1656396000000004,554.392,1108.784,2011_nk_225,Nush,2011,0.70908594,4.12900457,4.5798833333332e-4,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
