Cycle,Sr88,Iso,Time,Microns,Fish_id,Watershed,Year,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core
397,1.08244964949852,0.708611980691839,208.028,416.056,2015_nk_015,Nush,2015,0.709060356878741,1.08419137253125,-0.00145523954193849,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
398,1.07854432672407,0.708164348189831,208.552,417.104,2015_nk_015,Nush,2015,0.709064092784957,1.08326124127809,-9.3013125315577e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
399,1.08031218782315,0.708975361154057,209.076,418.152,2015_nk_015,Nush,2015,0.709093342153667,1.08282680961949,-4.3443165860424e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
400,1.11087570945047,0.708986417237341,209.6,419.2,2015_nk_015,Nush,2015,0.709125542764528,1.08246264640796,-3.6416321152388e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
401,1.12096045088871,0.708703042319566,210.124,420.248,2015_nk_015,Nush,2015,0.709115213078187,1.08183341178049,-6.2923462747299e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
402,1.09172780039189,0.710212368865115,210.648,421.296,2015_nk_015,Nush,2015,0.709124869949774,1.08074252014577,-0.0010908916347161,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
403,1.11503116523805,0.708748353866766,211.172,422.344,2015_nk_015,Nush,2015,0.709123983535878,1.07958802476657,-0.00115449537920775,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
404,1.08863381767915,0.709554610717143,211.696,423.392,2015_nk_015,Nush,2015,0.709140679347186,1.07878015650115,-8.0786826541379e-4,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
405,1.07208568516428,0.709207603489208,212.22,424.44,2015_nk_015,Nush,2015,0.709148388882789,1.07742514826022,-0.00135500824093571,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
406,1.07092628269559,0.709474032256277,212.744,425.488,2015_nk_015,Nush,2015,0.709173117394435,1.07580650475629,-0.00161864350393048,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
407,1.04844616960927,0.709270480756872,213.268,426.536,2015_nk_015,Nush,2015,0.709168528828786,1.07399745371436,-0.00180905104192886,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
408,1.06252494370847,0.708883998254657,213.792,427.584,2015_nk_015,Nush,2015,0.709184465233377,1.07263180426346,-0.00136564945089979,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
409,1.07586837261795,0.708514065817284,214.316,428.632,2015_nk_015,Nush,2015,0.7091624197834,1.07150548375528,-0.00112632050818195,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
410,1.06761490504912,0.710082727949661,214.84,429.68,2015_nk_015,Nush,2015,0.709159678313125,1.07027724132731,-0.00122824242796216,307.311217528983,600.869779628463,1165.376,0.709018368609139,NA
