Cycle,Time,Iso,Sr88,Fish_id,Watershed,Year,Microns,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core
1303,682.772,0.709343683645115,0.521565069725287,2015_yk_489,Yukon,2015,1365.544,0.707683566894047,0.5110975291343,5.2192712562637e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1304,683.296,0.70585096623628,0.504478935485432,2015_yk_489,Yukon,2015,1366.592,0.70775093836057,0.511242931357679,1.4540222337933e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1305,683.82,0.707594439156178,0.496407048263866,2015_yk_489,Yukon,2015,1367.64,0.707802882519075,0.511622448257147,3.7951689946791e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1306,684.344,0.710221177404378,0.501988070277832,2015_yk_489,Yukon,2015,1368.688,0.707774685358419,0.512089364173025,4.6691591587766e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1307,684.868,0.703971995127625,0.512631079976277,2015_yk_489,Yukon,2015,1369.736,0.707732066613841,0.51223190212221,1.425379491855e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1308,685.392,0.709959436755782,0.504168860383725,2015_yk_489,Yukon,2015,1370.784,0.707736066656608,0.512453988893736,2.2208677152546e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1309,685.916,0.710127873314091,0.506438307031637,2015_yk_489,Yukon,2015,1371.832,0.70770722485981,0.513143690217325,6.8970132358947e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1310,686.44,0.706335493012518,0.521550127259248,2015_yk_489,Yukon,2015,1372.88,0.707709171202414,0.513543020954162,3.9933073683751e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1311,686.964,0.710688522343413,0.525056725468512,2015_yk_489,Yukon,2015,1373.928,0.707702516861211,0.513395642258056,-1.4737869610659e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1312,687.488,0.707272519855439,0.513473142981584,2015_yk_489,Yukon,2015,1374.976,0.707730153727708,0.513519445333374,1.2380307531789e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1313,688.012,0.705889365205046,0.542498364041518,2015_yk_489,Yukon,2015,1376.024,0.707706027011751,0.513877008740259,3.5756340688553e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1314,688.536,0.707053737433944,0.551648409248298,2015_yk_489,Yukon,2015,1377.072,0.707716244524597,0.513937019419493,6.00106792341126e-5,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1315,689.06,0.706584827681435,0.537142398250504,2015_yk_489,Yukon,2015,1378.12,0.707702918451367,0.51409912324445,1.6210382495696e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1316,689.584,0.708887380784341,0.515178514688307,2015_yk_489,Yukon,2015,1379.168,0.70767267619567,0.514678388370284,5.792651258335e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1317,690.108,0.704340042707004,0.526065835830307,2015_yk_489,Yukon,2015,1380.216,0.707672561388394,0.515396363516142,7.1797514585825e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1318,690.632,0.710310551318575,0.530052769110396,2015_yk_489,Yukon,2015,1381.264,0.707682837208572,0.515809383893505,4.1302037736323e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1319,691.156,0.707513369178494,0.515281111663249,2015_yk_489,Yukon,2015,1382.312,0.707629880512453,0.516490905278635,6.8152138512955e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1320,691.68,0.705713761560975,0.521007285324971,2015_yk_489,Yukon,2015,1383.36,0.707652409126805,0.517511751942881,0.00102084666424618,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1321,692.204,0.707517271595006,0.528882239113527,2015_yk_489,Yukon,2015,1384.408,0.707655488080066,0.518249826189122,7.3807424624128e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1322,692.728,0.709249942712744,0.519041478342076,2015_yk_489,Yukon,2015,1385.456,0.707646755688368,0.518594562889988,3.447367008651e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1323,693.252,0.708696820321424,0.513414084672387,2015_yk_489,Yukon,2015,1386.504,0.707630928338128,0.519006315591502,4.1175270151439e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1324,693.776,0.708539750167304,0.529362732339781,2015_yk_489,Yukon,2015,1387.552,0.707626900375384,0.519626673772783,6.2035818128125e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1325,694.3,0.706605296196529,0.530179061877062,2015_yk_489,Yukon,2015,1388.6,0.707660424802046,0.51987127447241,2.446006996265e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1326,694.824,0.708104443998957,0.499551100899772,2015_yk_489,Yukon,2015,1389.648,0.707633688454921,0.520294483576569,4.2320910415938e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1327,695.348,0.70753008744452,0.50091522779679,2015_yk_489,Yukon,2015,1390.696,0.707646829041227,0.521091288318632,7.96804742063e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1328,695.872,0.705963093794701,0.524786929248234,2015_yk_489,Yukon,2015,1391.744,0.707677193467957,0.521846795974614,7.5550765598175e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1329,696.396,0.707628989176456,0.526896841820719,2015_yk_489,Yukon,2015,1392.792,0.707714339798768,0.522341181773807,4.9438579919269e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
1330,696.92,0.709634872940493,0.518484820579076,2015_yk_489,Yukon,2015,1393.84,0.707701224175327,0.523094011164916,7.5282939110998e-4,1009.47923831037,1325.35523419824,1221.968,0.707746911032283,NA
